date;cours;titre_id
2016/03/21;185500;7
2016/03/18;185500;7
2016/03/17;185000;7
2016/03/16;185000;7
2016/03/15;193515;7
2016/03/14;209205;7
2016/03/11;226165;7
2016/03/10;244500;7
2016/03/09;228360;7
2016/03/08;212430;7
2016/03/07;197610;7
2016/03/04;183825;7
2016/03/03;171000;7
2016/03/02;171000;7
2016/03/01;160000;7
2016/02/29;160000;7
2016/02/26;150500;7
2016/02/25;150500;7
2016/02/24;149015;7
2016/02/23;145010;7
2016/02/22;145005;7
2016/02/19;151000;7
2016/02/18;147000;7
2016/02/16;144840;7
2016/02/15;142000;7
2016/02/12;138010;7
2016/02/11;138000;7
2016/02/05;137705;7
2016/02/03;137600;7
2016/02/02;137600;7
2016/02/01;137500;7
2016/01/29;135000;7
2016/01/27;134010;7
2016/01/26;134005;7
2016/01/25;134300;7
2016/01/22;134300;7
2016/01/21;131000;7
2016/01/20;131100;7
2016/01/19;130000;7
2016/01/18;130000;7
2016/01/15;131000;7
2016/01/14;131000;7
2016/01/13;130000;7
2016/01/12;130000;7
2016/01/11;125600;7
2016/01/08;125000;7
2016/01/07;124000;7
2016/01/06;124000;7
2016/01/05;123000;7
2015/12/31;125000;7
2015/12/30;120000;7
2015/12/29;118000;7
2015/12/28;115500;7
2015/12/23;113000;7
2015/12/22;112705;7
2015/12/21;115005;7
2015/12/18;117000;7
2015/12/17;116000;7
2015/12/16;116000;7
2015/12/15;116000;7
2015/12/14;117000;7
2015/12/11;117000;7
2015/12/10;117000;7
2015/12/09;118000;7
2015/12/08;122500;7
2015/12/07;118000;7
2015/12/04;117000;7
2015/12/03;117100;7
2015/11/30;120000;7
2015/11/27;117000;7
2015/11/26;117000;7
2015/11/25;119510;7
2015/11/24;119515;7
2015/11/23;119510;7
2015/11/19;119510;7
2015/11/18;119500;7
2015/11/17;119500;7
2015/11/16;119500;7
2015/11/13;120000;7
2015/11/12;120000;7
2015/11/11;119010;7
2015/11/10;119500;7
2015/11/09;119010;7
2015/11/06;119500;7
2015/11/05;119000;7
2015/11/04;119000;7
2015/11/03;120000;7
2015/11/02;120000;7
2015/10/30;120000;7
2015/10/28;123000;7
2015/10/27;122005;7
2015/10/26;121050;7
2015/10/23;121000;7
2015/10/22;122000;7
2015/10/20;122000;7
2015/10/19;121000;7
2015/10/16;120000;7
2015/10/15;120000;7
2015/10/14;120000;7
2015/10/12;117650;7
2015/10/07;122000;7
2015/10/06;122000;7
2015/10/05;122000;7
2015/10/02;122000;7
2015/10/01;122000;7
2015/09/30;121100;7
2015/09/28;120100;7
2015/09/25;125000;7
2015/09/23;126000;7
2015/09/22;126000;7
2015/09/21;131985;7
2015/09/18;125000;7
2015/09/17;125000;7
2015/09/15;123100;7
2015/09/14;125100;7
2015/09/11;125000;7
2015/09/10;125000;7
2015/09/09;125000;7
2015/09/08;126000;7
2015/09/07;125000;7
2015/09/04;124000;7
2015/09/02;124000;7
2015/09/01;122500;7
2015/08/31;121000;7
2015/08/28;118000;7
2015/08/27;116100;7
2015/08/26;115500;7
2015/08/25;115000;7
2015/08/24;115000;7
2015/08/21;115000;7
2015/08/20;115000;7
2015/08/19;114995;7
2015/08/18;115000;7
2015/08/17;115000;7
2015/08/14;107000;7
2015/08/13;107000;7
2015/08/12;105010;7
2015/08/11;105000;7
2015/08/10;102205;7
2015/08/06;102000;7
2015/08/05;101000;7
2015/08/04;101000;7
2015/08/03;100500;7
