date;cours
2016/03/18;19200
2016/03/17;19200
2016/03/16;19200
2016/03/15;19200
2016/03/14;19500
2016/03/11;19000
2016/03/10;19900
2016/03/09;20000
2016/03/08;20100
2016/03/07;20300
2016/03/04;20605
2016/03/03;21000
2016/03/02;20005
2016/03/01;20100
2016/02/26;20200
2016/02/25;20010
2016/02/23;20000
2016/02/22;20010
2016/02/19;20010
2016/02/18;20005
2016/02/17;20005
2016/02/16;20000
2016/02/15;20000
2016/02/12;19650
2016/02/11;20000
2016/02/10;19995
2016/02/09;19995
2016/02/08;19995
2016/02/05;19990
2016/02/04;19995
2016/02/03;20000
2016/02/02;20000
2016/02/01;20005
2016/01/28;20005
2016/01/27;20000
2016/01/26;20000
2016/01/25;20000
2016/01/22;20000
2016/01/21;20000
2016/01/20;20000
2016/01/19;19400
2016/01/18;20000
2016/01/15;19500
2016/01/14;19500
2016/01/11;19500
2016/01/08;19500
2016/01/07;19505
2016/01/06;19500
2016/01/05;19500
2016/01/04;19500
2015/12/30;20000
2015/12/29;19500
2015/12/28;19500
2015/12/23;19400
2015/12/22;19500
2015/12/21;19400
2015/12/18;19400
2015/12/16;19400
2015/12/15;19400
2015/12/14;19500
2015/12/11;20000
2015/12/10;19400
2015/12/09;19500
2015/12/08;20000
2015/12/07;19500
2015/12/04;20000
2015/12/03;20995
2015/12/02;20000
2015/12/01;20500
2015/11/30;21000
2015/11/27;22000
2015/11/25;20500
2015/11/24;20000
2015/11/23;20000
2015/11/20;20000
2015/11/19;20000
2015/11/18;19995
2015/11/17;20000
2015/11/16;20000
2015/11/13;19400
2015/11/12;20000
2015/11/11;20000
2015/11/10;20000
2015/11/09;20000
2015/11/06;20000
2015/11/04;19400
2015/11/03;19600
2015/11/02;19400
2015/10/29;20100
2015/10/28;20350
2015/10/27;20350
2015/10/26;22000
2015/10/23;22000
2015/10/22;21900
2015/10/21;21995
2015/10/19;21000
2015/10/16;21000
2015/10/14;21000
2015/10/13;20500
2015/10/12;21000
2015/10/07;21000
2015/10/06;21000
2015/10/05;20500
2015/10/02;20500
2015/10/01;20500
2015/09/30;20500
2015/09/29;20500
2015/09/28;19500
2015/09/25;20500
2015/09/23;20500
2015/09/22;21500
2015/09/17;21500
2015/09/16;21595
2015/09/15;20500
2015/09/14;21600
2015/09/10;20500
2015/09/09;20500
2015/09/08;20500
2015/09/07;20500
2015/09/04;20500
2015/09/02;20500
2015/09/01;20000
2015/08/31;20000
2015/08/27;19200
2015/08/26;20500
2015/08/25;20500
2015/08/24;20005
2015/08/21;20500
2015/08/20;20500
2015/08/19;20500
2015/08/17;20500
2015/08/14;20500
2015/08/13;21000
2015/08/12;22000
2015/08/10;22800
2015/08/06;22800
2015/08/05;23000
2015/08/04;23100
2015/08/03;23000
2015/07/31;22575
2015/07/30;21000
2015/07/29;20280
2015/07/28;21500
2015/07/27;20280
2015/07/24;20000
2015/07/23;20000
2015/07/22;20100
2015/07/21;20005
2015/07/20;20000
2015/07/16;20400
