name;symbol;bourse
SONATEL SN;SNTS;BRVM
AIR LIQUIDE CI;SIVC;BRVM
BERNABE CI;BNBC;BRVM
BICI CI;BICC;BRVM
BOA BF;BOABF;BRVM
BOA BN;BOAB;BRVM
BOA CI;BOAC;BRVM
BOA NG;BOAN;BRVM
BOA SN;BOAS;BRVM
BOLLORE CI;SDSC;BRVM
CFAO CI;CFAC;BRVM
CIE CI;CIEC;BRVM
CROWN CIE CI;SEMC;BRVM
FILTISAC CI;FTSC;BRVM
MOVIS CI;SVOC;BRVM
NEI CEDA CI;NEIC;BRVM
NESTLE CI;NTLC;BRVM
ONATEL BF;ONTBF;BRVM
PALM CI;PALC;BRVM
SAFCA CI;SAFC;BRVM
SAPH CI;SPHC;BRVM
SERVAIR CI;ABJC;BRVM
SETAO CI;STAC;BRVM
SGB CI;SGBC;BRVM
SICOR CI;SICC;BRVM
SMB CI;SMBC;BRVM
SODE CI;SDCC;BRVM
SOGB CI;SOGC;BRVM
SOLIBRA CI;SLBC;BRVM
TOTAL CI;TTLC;BRVM
TOTAL SN;TTLS;BRVM
TRACTAFRIQUE CI;PRSC;BRVM
UNILEVER CI;UNLC;BRVM
UNIWAX CI;UNXC;BRVM
VIVO ENEGY CI;SHEC;BRVM
SICABLE CI;CABC;BRVM
SITAB CI;STBC;BRVM
ECOBANK TG;ETIT;BRVM
