date;cours;titre_id
2016/03/21;106200;8
2016/03/18;103005;8
2016/03/17;100000;8
2016/03/16;106000;8
2016/03/15;111465;8
2016/03/14;120500;8
2016/03/11;129995;8
2016/03/10;130000;8
2016/03/09;122990;8
2016/03/08;114410;8
2016/03/07;106430;8
2016/03/04;99005;8
2016/03/03;98000;8
2016/03/02;97000;8
2016/03/01;96700;8
2016/02/29;96500;8
2016/02/26;96210;8
2016/02/25;96200;8
2016/02/24;96200;8
2016/02/23;96000;8
2016/02/22;96010;8
2016/02/19;96000;8
2016/02/18;95000;8
2016/02/17;92010;8
2016/02/16;91105;8
2016/02/15;91005;8
2016/02/12;91200;8
2016/02/11;91005;8
2016/02/10;90255;8
2016/02/09;91600;8
2016/02/08;91500;8
2016/02/05;91125;8
2016/02/04;91100;8
2016/02/03;91000;8
2016/02/02;91000;8
2016/02/01;90200;8
2016/01/29;91000;8
2016/01/28;90000;8
2016/01/27;86550;8
2016/01/26;86250;8
2016/01/25;86200;8
2016/01/22;86150;8
2016/01/21;85000;8
2016/01/20;85000;8
2016/01/19;86000;8
2016/01/18;86000;8
2016/01/14;84500;8
2016/01/13;83000;8
2016/01/12;85000;8
2016/01/11;80010;8
2016/01/08;80000;8
2016/01/07;79100;8
2016/01/06;79100;8
2016/01/05;79000;8
2015/12/31;85000;8
2015/12/29;86000;8
2015/12/28;80000;8
2015/12/23;79500;8
2015/12/22;79500;8
2015/12/21;78995;8
2015/12/18;79000;8
2015/12/17;78995;8
2015/12/14;79000;8
2015/12/11;78350;8
2015/12/09;78250;8
2015/12/08;78950;8
2015/12/07;78500;8
2015/12/04;78505;8
2015/12/03;78995;8
2015/12/02;79000;8
2015/12/01;79000;8
2015/11/30;79000;8
2015/11/27;80000;8
2015/11/26;80500;8
2015/11/25;80005;8
2015/11/24;80500;8
2015/11/23;80500;8
2015/11/20;81500;8
2015/11/19;82000;8
2015/11/18;82000;8
2015/11/17;83800;8
2015/11/16;84005;8
2015/11/13;84105;8
2015/11/12;84000;8
2015/11/10;84100;8
2015/11/09;84000;8
2015/11/06;85000;8
2015/11/05;84000;8
2015/11/04;87000;8
2015/11/03;87000;8
2015/10/28;86005;8
2015/10/27;86005;8
2015/10/26;86005;8
2015/10/23;86115;8
2015/10/22;86110;8
2015/10/21;86005;8
2015/10/20;86005;8
2015/10/19;86005;8
2015/10/16;86000;8
2015/10/15;86000;8
2015/10/14;85000;8
2015/10/13;83100;8
2015/10/06;84105;8
2015/10/05;85000;8
2015/10/02;85005;8
2015/10/01;85000;8
2015/09/30;85005;8
2015/09/29;85000;8
2015/09/28;84000;8
2015/09/25;84900;8
2015/09/23;84000;8
2015/09/22;84000;8
2015/09/21;84010;8
2015/09/18;86000;8
2015/09/17;85000;8
2015/09/15;84005;8
2015/09/14;83500;8
2015/09/11;83500;8
2015/09/10;83200;8
2015/09/09;83000;8
2015/09/08;82650;8
2015/09/07;83005;8
2015/09/04;82505;8
2015/09/02;82500;8
2015/09/01;81005;8
2015/08/31;81000;8
2015/08/28;80550;8
2015/08/27;80005;8
2015/08/26;80000;8
2015/08/25;79610;8
2015/08/24;80000;8
2015/08/21;79650;8
2015/08/20;79510;8
2015/08/19;79015;8
2015/08/18;79600;8
2015/08/17;80000;8
2015/08/14;80000;8
2015/08/13;80000;8
2015/08/12;79600;8
2015/08/11;79500;8
2015/08/10;79000;8
2015/08/06;79600;8
2015/08/05;79600;8
2015/08/04;79600;8
2015/08/03;79000;8
2015/07/31;79005;8
2015/07/29;77525;8
2015/07/27;79100;8
2015/07/24;78500;8
2015/07/23;79000;8
2015/07/22;79500;8
2015/07/21;78500;8
2015/07/20;78200;8
2015/07/16;78000;8
2015/07/15;79000;8
2015/07/13;80000;8
2015/07/10;78010;8
2015/07/07;78000;8
2015/07/06;77010;8
2015/07/03;77505;8
2015/07/02;79000;8
2015/07/01;79000;8
2015/06/30;79000;8
2015/06/29;78705;8
2015/06/26;78700;8
2015/06/25;79000;8
2015/06/23;79985;8
2015/06/22;80000;8
2015/06/19;77000;8
2015/06/18;77200;8
2015/06/17;77100;8
2015/06/15;78005;8
2015/06/11;77100;8
2015/06/10;77105;8
2015/06/09;77500;8
2015/06/08;77000;8
2015/06/05;77100;8
2015/06/04;77100;8
2015/06/03;78500;8
2015/06/02;78500;8
2015/06/01;79500;8
2015/05/29;77500;8
2015/05/28;78500;8
2015/05/27;79500;8
2015/05/26;77000;8
2015/05/22;76005;8
2015/05/21;76000;8
2015/05/20;76000;8
2015/05/19;75040;8
2015/05/12;79500;8
2015/05/08;79500;8
2015/05/05;81000;8
2015/04/29;83000;8
2015/04/27;83000;8
2015/04/24;83000;8
2015/04/23;83000;8
2015/04/16;83000;8
2015/04/15;81500;8
2015/04/14;81000;8
2015/04/13;81000;8
2015/04/10;80500;8
2015/04/09;80000;8
2015/04/08;80000;8
2015/04/07;80000;8
2015/04/02;80000;8
2015/04/01;81500;8
2015/03/31;81000;8
2015/03/30;81500;8
2015/03/26;79500;8
2015/03/25;79500;8
2015/03/24;81300;8
2015/03/23;81000;8
2015/03/20;81500;8
2015/03/19;81500;8
2015/03/18;87620;8
2015/03/16;81510;8
2015/03/13;81500;8
2015/03/12;82000;8
2015/03/11;81550;8
2015/03/10;81500;8
2015/03/09;80205;8
2015/03/06;80100;8
2015/03/05;80500;8
2015/03/04;80000;8
2015/03/02;80000;8
2015/02/27;80000;8
2015/02/25;82500;8
2015/02/24;83000;8
2015/02/20;84000;8
2015/02/18;84000;8
2015/02/16;84000;8
2015/02/12;85100;8
2015/02/11;85100;8
2015/02/10;85000;8
2015/02/06;89000;8
2015/02/05;89000;8
2015/02/04;89000;8
2015/02/03;89900;8
2015/02/02;92000;8
2015/01/30;92440;8
2015/01/29;85995;8
2015/01/28;87000;8
2015/01/27;85000;8
2015/01/26;83100;8
2015/01/23;83100;8
2015/01/21;83000;8
2015/01/19;80000;8
2015/01/16;80000;8
2015/01/15;80000;8
2015/01/14;85000;8
2015/01/13;83995;8
2015/01/12;84000;8
2015/01/09;80000;8
2015/01/08;85000;8
2014/12/31;87000;8
2014/12/30;85000;8
2014/12/29;85000;8
2014/12/24;84995;8
2014/12/23;82000;8
2014/12/18;80695;8
2014/12/17;75095;8
2014/12/16;69870;8
2014/12/15;65000;8
2014/12/12;62250;8
2014/12/11;62505;8
2014/12/10;62500;8
2014/12/09;62500;8
2014/12/08;62500;8
2014/12/04;62000;8
