date;cours;titre_id
2016/03/18;94990;36
2016/03/17;95000;36
2016/03/16;95000;36
2016/03/14;98050;36
2016/03/09;106000;36
2016/03/04;106375;36
2016/03/02;114995;36
2016/02/29;117000;36
2016/02/26;113775;36
2016/02/24;123000;36
2016/02/23;123000;36
2016/02/19;123000;36
2016/02/16;123500;36
2016/02/10;120000;36
2016/02/05;120500;36
2016/01/25;123500;36
2016/01/20;123000;36
2016/01/19;123000;36
2016/01/15;123000;36
2016/01/14;123000;36
2016/01/12;121000;36
2016/01/07;123500;36
2016/01/06;120000;36
2016/01/05;120000;36
2015/12/31;123500;36
2015/12/30;115000;36
2015/12/18;110000;36
2015/12/16;110000;36
2015/12/09;105000;36
2015/12/07;100000;36
2015/12/04;100000;36
2015/11/30;100100;36
2015/11/27;100000;36
2015/11/25;100100;36
2015/11/24;100100;36
2015/11/23;100000;36
2015/11/20;100000;36
2015/11/18;100000;36
2015/11/13;100000;36
2015/11/12;100000;36
2015/11/04;100000;36
2015/10/30;102500;36
2015/10/27;101000;36
2015/10/26;101000;36
2015/10/23;102000;36
2015/10/22;101000;36
2015/10/20;102000;36
2015/10/19;100000;36
2015/10/16;102000;36
2015/10/14;102000;36
2015/10/01;104000;36
2015/09/29;100000;36
2015/09/22;105000;36
2015/09/18;105000;36
2015/09/16;98900;36
2015/09/14;98900;36
2015/09/11;95500;36
2015/09/10;95800;36
2015/09/08;94515;36
2015/09/07;94000;36
2015/09/02;91505;36
2015/09/01;91005;36
2015/08/28;91575;36
2015/08/26;100000;36
2015/08/25;96100;36
2015/08/24;96000;36
2015/08/17;96000;36
2015/08/13;96500;36
2015/08/12;97000;36
2015/08/11;97010;36
2015/08/10;97000;36
2015/08/06;98000;36
2015/08/05;98000;36
2015/08/04;98000;36
2015/08/03;96200;36
2015/07/31;96200;36
2015/07/30;96200;36
2015/07/29;96200;36
2015/07/10;96195;36
2015/07/08;96200;36
2015/07/02;104000;36
2015/06/30;105000;36
2015/06/26;105000;36
2015/06/24;103000;36
2015/06/19;105000;36
2015/06/18;109650;36
2015/06/17;102000;36
2015/06/16;102000;36
2015/06/15;100000;36
2015/06/11;95000;36
2015/06/10;95000;36
2015/06/09;90000;36
2015/06/08;85000;36
2015/06/01;85000;36
2015/05/29;84500;36
2015/05/28;79000;36
2015/05/27;79000;36
2015/05/21;79000;36
2015/05/20;78995;36
2015/05/19;75250;36
2015/05/18;70005;36
2015/05/11;70005;36
2015/05/08;75000;36
2015/05/07;69800;36
2015/05/06;65000;36
2015/04/30;62000;36
2015/04/27;59200;36
2015/04/23;58800;36
2015/04/22;58000;36
2015/04/21;58000;36
2015/04/20;57000;36
2015/04/17;58000;36
2015/04/16;58000;36
2015/04/15;57000;36
2015/04/13;58000;36
2015/04/10;58000;36
2015/04/09;58000;36
2015/04/08;58300;36
2015/04/07;58300;36
2015/04/03;58300;36
2015/04/02;58300;36
2015/04/01;58300;36
2015/03/31;63000;36
2015/03/30;65500;36
2015/03/27;67000;36
2015/03/25;70000;36
2015/03/24;70000;36
2015/03/23;72000;36
2015/03/18;73300;36
2015/03/17;71000;36
2015/03/12;71000;36
2015/03/10;73225;36
2015/03/09;73225;36
2015/03/06;71790;36
2015/03/05;77610;36
2015/03/04;83900;36
2015/03/02;90700;36
2015/02/27;98050;36
2015/02/26;98050;36
2015/02/24;105995;36
2015/02/23;106000;36
2015/02/18;107000;36
2015/02/16;100000;36
2015/02/11;108000;36
2015/02/06;108000;36
2015/01/27;108000;36
2015/01/23;108500;36
2015/01/14;108000;36
2015/01/09;109000;36
2015/01/07;109650;36
2015/01/06;102000;36
2014/12/31;102000;36
2014/12/29;100000;36
2014/12/24;100000;36
2014/12/22;99500;36
2014/12/19;99500;36
