date;cours;titre_id
2016/03/21;14080;18
2016/03/18;14050;18
2016/03/17;14100;18
2016/03/16;14000;18
2016/03/15;14100;18
2016/03/14;13955;18
2016/03/11;14100;18
2016/03/10;14000;18
2016/03/09;14100;18
2016/03/08;14005;18
2016/03/07;14200;18
2016/03/04;14200;18
2016/03/03;14305;18
2016/03/02;14400;18
2016/03/01;14305;18
2016/02/29;14100;18
2016/02/26;14400;18
2016/02/25;14500;18
2016/02/24;14450;18
2016/02/23;14350;18
2016/02/22;14390;18
2016/02/19;14300;18
2016/02/18;14400;18
2016/02/17;14500;18
2016/02/16;14500;18
2016/02/15;14490;18
2016/02/12;14495;18
2016/02/11;14215;18
2016/02/10;14000;18
2016/02/09;14500;18
2016/02/08;13830;18
2016/02/05;13525;18
2016/02/04;13800;18
2016/02/03;13500;18
2016/02/02;13500;18
2016/02/01;13000;18
2016/01/29;12895;18
2016/01/28;12850;18
2016/01/27;12700;18
2016/01/26;12905;18
2016/01/25;12995;18
2016/01/22;13000;18
2016/01/21;13000;18
2016/01/20;13000;18
2016/01/19;13000;18
2016/01/18;13000;18
2016/01/15;13395;18
2016/01/14;13500;18
2016/01/13;13500;18
2016/01/12;13350;18
2016/01/11;13500;18
2016/01/08;13600;18
2016/01/07;13300;18
2016/01/06;13500;18
2016/01/05;13505;18
2016/01/04;13900;18
2015/12/31;15000;18
2015/12/30;14470;18
2015/12/29;13500;18
2015/12/28;12990;18
2015/12/23;12900;18
2015/12/22;13000;18
2015/12/21;12100;18
2015/12/18;12000;18
2015/12/17;12000;18
2015/12/16;12200;18
2015/12/15;12200;18
2015/12/14;12220;18
2015/12/11;12400;18
2015/12/10;12450;18
2015/12/09;12450;18
2015/12/08;12830;18
2015/12/07;12995;18
2015/12/04;12500;18
2015/12/03;12500;18
2015/12/02;12700;18
2015/12/01;12500;18
2015/11/30;12500;18
2015/11/27;12900;18
2015/11/26;12000;18
2015/11/25;12200;18
2015/11/24;12200;18
2015/11/23;12300;18
2015/11/20;12400;18
2015/11/19;12500;18
2015/11/18;12400;18
2015/11/17;12850;18
2015/11/16;12600;18
2015/11/13;12900;18
2015/11/12;12900;18
2015/11/11;13000;18
2015/11/10;13000;18
2015/11/09;13000;18
2015/11/06;13250;18
2015/11/05;13350;18
2015/11/04;12800;18
2015/11/03;12950;18
2015/11/02;13000;18
2015/10/30;13150;18
2015/10/29;13160;18
2015/10/28;13150;18
2015/10/27;13105;18
2015/10/26;13150;18
2015/10/23;13200;18
2015/10/22;13100;18
2015/10/21;13100;18
2015/10/20;13200;18
2015/10/19;13200;18
2015/10/16;13500;18
2015/10/15;13400;18
2015/10/14;13600;18
2015/10/13;13015;18
2015/10/12;13000;18
2015/10/07;13000;18
2015/10/06;13000;18
2015/10/05;13000;18
2015/10/02;13300;18
2015/10/01;13020;18
2015/09/30;13000;18
2015/09/29;13000;18
2015/09/28;13600;18
